,,,,,,,,
"083 Sitio Lubigan Plaza Aldea, Tanay Rizal / Victoria Sports Tower   Contact: 09175179996
Email: lanrossconsumergoodstrading@gmail.com ",,,,,,,,
QUOTATION REQUEST,,,,,,,,
To:,,Patmo SPharma,,,,PI No.:2551,,
E- mail:,,,,,,Issuing Date: 08/14/2025,,
,,,,,,Term of Payment:T/T,,
Contact Number,,,,,,Delivery place: Victoria Sports Tower,,
Department:,,,,,,,,
Item,Qty,,,,Description,Unit Price,Qty,Total Price
No.,,,Picture,Brand,,,,
1,250,ml,,PUREChem,Hydrochloric acid 33%,1100,1,1100
2,1,gallon,,PUREChem,Sulfuric Acid 96%-98%,1500,1,1500
3,4,liters,,PUREChem,Nitric Acid 68%,4900,1,4900
4,1,liters,,LabChem,Acetic Acid Glacial 99.5%,750,1,750
5,100,gram,,Dalkem,Sodim Hydroxide,750,1,750
6,2.5,liters,,AR/AS,Ammonium Hydroxide,4900,1,4900
7,500,gram,,HiMedia,"Sodium Chloride, Analytical Grade",2500,1,2500
8,500,gram,,Kemrad,Copper sulfate pentahydrate,780,1,170
9,500,gram,,Dalkem,Calcium Chloride flakes,450,1,450
10,500,ml,,PUREChem,Phenolphthalein solution 1%,1500,1,1500
11,500,ml,,PC Lab Reagent,Universal Indicator,1200,1,1200
12,100,ml,,Puhuifen,Iodine Solution,1200,1,1200
,,,,,Total,20920,,
Sign by:Samantha Fajanilan,,,,,,,,
